TIME_CYCLE                : 0
TIME_UNITS                : SECONDS
SERIE_INITIAL_DATA        : 2018 09 05 00 00 00

!time	Lon	Lat	level
<BeginTimeSerie>
0	    -8.751461668964113	42.23846405917372 	-1 
3600	-8.769817587603752	42.23600464049677 	-1 
7200	-8.789372424743458	42.22784812092362 	-1 
10800	-8.803067664870364	42.2234072481986 	-1 
14400	-8.817247510776733	42.21902924671449 	-1 
18000	-8.830884908636161	42.21902553211432 	-1 
21600	-8.831566792600864	42.21902533123053 	-1 
25200	-8.838779520760527	42.21960280741875 	-1 
28800	-8.853280810746471	42.22105199283095 	-1 
32400	-8.85475196903654	42.22192727375519 	-1 
36000	-8.855471831822021	42.22221951321283 	-1 
39600	-8.865889025709453	42.22574763365674 	-1 
43200	-8.866273918470885	42.22604366984974 	-1 
46800	-8.874703673494865	42.23172283223744 	-1 
50400	-8.875535226088797	42.23262937942389 	-1 
54000	-8.879682654811115	42.23689523440355 	-1 
57600	-8.880528673233552	42.23781702697471 	-1 
61200	-8.88795393261049	42.24655395926512 	-1 
64800	-8.888878702677884	42.2478221641815 	-1 
68400	-8.889700220993589	42.24845803249318 	-1 
72000	-8.896413844358818	42.2581538497798 	-1 
75600	-8.897067406851892	42.2597988971068 	-1 
79200	-8.89964866313742	42.26815208978544 	-1 
82800	-8.899890498470059	42.26950876397325 	-1 
86400	-8.900011799489038	42.27018921382242 	-1 
90000	-8.902050946863323	42.28162422851118 	-1 
93600	-8.902303047266896	42.28303744735689 	-1 
97200	-8.902556237735368	42.28445666718099 	-1 
100800	-8.902810525437442	42.28588192675844 	-1 
104400	-8.905138602928989	42.29676778580968 	-1 
108000	-8.905403356748886	42.29824599914233 	-1 
111600	-8.905669282915174	42.29973063805344 	-1 
115200	-8.905802688094187	42.30047538037573 	-1 
118800	-8.90920556658071	42.31069002834499 	-1 
122400	-8.910596382035173	42.31184359098541 	-1 
126000	-8.919438228531259	42.31884631450507 	-1 
129600	-8.921659981405266	42.32002703828801 	-1 
133200	-8.922136437643649	42.32042155603983 	-1 
136800	-8.934603627136031	42.3284055798074 	-1 
140400	-8.935093271388595	42.32880958150162 	-1 
144000	-8.943176587512857	42.3324657868654 	-1 
147600	-8.944485867074954	42.33287429509382 	-1 
151200	-8.94507701946749	42.33369306168375 	-1 
154800	-8.956119249137235	42.33906012335045 	-1 
158400	-8.957549150222752	42.33989305120667 	-1 
162000	-8.967179678944754	42.35047077379153 	-1 
165600	-8.968555934613292	42.3526237297123 	-1 
169200	-8.968665140019201	42.35305584826871 	-1 
172800	-8.977145600264823	42.36805665846621 	-1 
176400	-8.977262378928501	42.36850714582574 	-1 
180000	-8.980229114314717	42.37994790967596 	-1 
183600	-8.980470451732558	42.38087827221773 	-1 
187200	-8.982231527678339	42.38935499239976 	-1 
190800	-8.985236413727984	42.40440472335818 	-1 
194400	-8.987693131076487	42.41392338747012 	-1 
<EndTimeSerie>
